x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0.3038922,0.53406507,1.2409049e-8,0.3990694,0.5906669,0.008948747,0.49360287,0.5849614,0.009989975,0.5542109,0.61443,0.0037132697,0.5919666,0.6676865,-0.00018643354,0.52426594,0.4018161,0.011491333,0.5982728,0.3493674,-0.0061884928,0.64754623,0.32264727,-0.023862006,0.6966007,0.29535145,-0.039221,0.5065193,0.35388538,-0.009803128,0.57712543,0.4482646,-0.03624056,0.52768326,0.50837594,-0.047165576,0.49432018,0.49823382,-0.04986833,0.48102352,0.3394,-0.0313317,0.55715024,0.43803453,-0.06201036,0.5022886,0.4979415,-0.05013117,0.47120938,0.47211534,-0.03454679,0.45206252,0.34624967,-0.052502796,0.5218001,0.4373573,-0.06657387,0.4877252,0.48968887,-0.045510978,0.45516977,0.46615002,-0.026495488,raa
0.43778682,0.27923825,6.2365257e-7,0.45159915,0.36853254,-0.00915437,0.48371807,0.458948,-0.022250475,0.49791,0.5288881,-0.038941063,0.50234497,0.6006717,-0.052661195,0.5724274,0.4111057,-0.006353389,0.6052226,0.47734866,-0.028664364,0.6193391,0.5321322,-0.0428359,0.62461066,0.57923144,-0.05021557,0.5890138,0.3654516,-0.019200955,0.6462515,0.4481776,-0.043461222,0.6497608,0.5138659,-0.04894664,0.6440488,0.5656474,-0.048230495,0.58824605,0.32713935,-0.03554949,0.57721305,0.44385278,-0.06780086,0.53202134,0.42431512,-0.059866026,0.5062835,0.39548647,-0.044833157,0.5700261,0.30589223,-0.053323783,0.5480039,0.41153398,-0.074304685,0.5134524,0.3914778,-0.06541886,0.49955073,0.3596272,-0.05330385,thal
0.23861636,0.3922342,5.577738e-7,0.282103,0.5128966,-0.022337379,0.36573502,0.5764464,-0.030099897,0.41848126,0.49729672,-0.041931935,0.4145214,0.3887239,-0.0538826,0.4713412,0.5162515,0.0034145627,0.5574257,0.5231493,-0.013771319,0.61200804,0.51630205,-0.028593792,0.66047657,0.5114403,-0.040787157,0.47139362,0.43383136,-0.011360541,0.56586015,0.44460043,-0.03788578,0.6292441,0.45402294,-0.061137363,0.6875704,0.45526922,-0.07438896,0.45158193,0.36059093,-0.030703988,0.49550742,0.37570548,-0.083396085,0.42351642,0.4039496,-0.10063955,0.3710683,0.41668063,-0.095796704,0.41799524,0.29581314,-0.051522553,0.43883467,0.32278317,-0.09416454,0.38615537,0.35986716,-0.10052533,0.34413153,0.381605,-0.095814034,ta
0.37883878,0.5173461,1.3851263e-7,0.41445693,0.40353447,-0.0066115884,0.47065657,0.32235974,-0.022518514,0.5337035,0.2745572,-0.035337526,0.5834287,0.25479952,-0.043562632,0.52637863,0.3684223,-0.048992798,0.6016225,0.4145298,-0.06791271,0.5754579,0.4450828,-0.06628624,0.5397542,0.4682987,-0.058223885,0.5268326,0.45228794,-0.052965414,0.64339024,0.46191502,-0.07094939,0.70497686,0.46850616,-0.072131075,0.75586885,0.47826317,-0.06974092,0.5191197,0.5312515,-0.054454945,0.63301885,0.5280907,-0.07036586,0.68869525,0.5267147,-0.07077165,0.731735,0.5277166,-0.067432165,0.50412345,0.6025641,-0.054219943,0.57858485,0.58399147,-0.05582835,0.58428085,0.56557703,-0.041801013,0.58184475,0.56026655,-0.029073048,unknown
0.22902308,0.4830632,5.457761e-8,0.33520108,0.5853287,-0.0012434244,0.43557617,0.6036073,-0.0026676203,0.509577,0.6152286,-0.012441294,0.57429934,0.63150907,-0.020704696,0.4713829,0.43859816,0.025242943,0.5500664,0.35741147,0.010584772,0.5898354,0.34766242,-0.0007479247,0.6353757,0.32140043,-0.011550143,0.45706654,0.39217433,0.007708899,0.5329336,0.41751593,-0.02783498,0.46665382,0.48796308,-0.042860076,0.42633864,0.4878932,-0.04531611,0.4368066,0.3476182,-0.01292876,0.51345736,0.38516635,-0.057903577,0.44284683,0.45196596,-0.051951244,0.3991705,0.44479775,-0.035177186,0.41010576,0.30322894,-0.033492584,0.48057854,0.3472821,-0.06760875,0.43855244,0.41128314,-0.059079304,0.39903164,0.40934864,-0.044464137,raa
0.19820665,0.33803448,5.6253e-7,0.23749101,0.45559892,-0.033892836,0.31090274,0.5108023,-0.046870477,0.3608054,0.4266887,-0.062073078,0.3782036,0.32628247,-0.0769844,0.44445542,0.45224583,-0.006276116,0.5322827,0.45627213,-0.0268434,0.5867508,0.45220584,-0.044351507,0.63893145,0.44495425,-0.057862308,0.44744048,0.37453753,-0.015869057,0.5449912,0.3853308,-0.04079028,0.6077033,0.39726096,-0.06237742,0.66790235,0.39773113,-0.07601293,0.42571813,0.3035507,-0.03143325,0.4853007,0.29538235,-0.07988379,0.41145656,0.3198907,-0.092527725,0.36003098,0.33247623,-0.08638157,0.38792834,0.22939761,-0.049742024,0.44289595,0.2297126,-0.08626146,0.39643693,0.2649065,-0.08635396,0.35215682,0.29018924,-0.07864915,ta
0.3355699,0.5177458,1.20866e-7,0.4168324,0.5902441,0.0040918086,0.49028862,0.5869394,0.0040720506,0.5472588,0.5824316,-0.004367797,0.5991415,0.5840374,-0.011662951,0.5094915,0.44174105,0.033048365,0.5689812,0.39141154,0.020765612,0.6081916,0.38778728,0.010221126,0.6446923,0.3748447,0.0010555626,0.49767762,0.41210017,0.01669629,0.5577904,0.44055504,-0.012552597,0.5135333,0.49630722,-0.026147176,0.48586977,0.49226642,-0.02815944,0.4832393,0.3859203,-0.0025193575,0.54816014,0.4270252,-0.040465344,0.49522927,0.4809182,-0.03659161,0.46277118,0.4698774,-0.022655204,0.46609405,0.36341205,-0.021046717,0.52202344,0.41025957,-0.04834461,0.4896543,0.45604402,-0.04127193,0.46050432,0.44615325,-0.029104693,raa
0.23668297,0.50596994,5.187684e-7,0.27236646,0.60099703,-0.03458773,0.33699617,0.6528606,-0.051897656,0.37539697,0.5749922,-0.07051316,0.37664512,0.47572267,-0.0898922,0.45592993,0.5984719,-0.019341903,0.5368701,0.6101139,-0.03962113,0.5882246,0.6118704,-0.05673578,0.63647646,0.61012495,-0.06981687,0.45566812,0.52732795,-0.027114522,0.54365283,0.5303065,-0.05271255,0.5984444,0.5366485,-0.07442092,0.65273833,0.53290844,-0.08794035,0.4368375,0.46412432,-0.039139155,0.48297364,0.4644934,-0.08369439,0.41647905,0.4927261,-0.09381626,0.37222484,0.50054914,-0.08740821,0.40571928,0.40252718,-0.05388024,0.45905057,0.40847868,-0.08304327,0.41802877,0.44355822,-0.07857645,0.37809142,0.46235654,-0.06906111,ta
0.43452188,0.2650337,7.014029e-7,0.4464065,0.36571962,-0.005633929,0.4790399,0.46422693,-0.017574731,0.49322367,0.540112,-0.03508943,0.4950167,0.6186102,-0.048788227,0.57225037,0.42181802,0.0040380624,0.6117394,0.49352255,-0.01840062,0.62727135,0.55349404,-0.03300201,0.6318452,0.60613674,-0.040869907,0.5907642,0.37680292,-0.011739333,0.6531536,0.4633434,-0.039424103,0.6571184,0.53693855,-0.047231466,0.65134287,0.59656644,-0.04739593,0.5928393,0.33727232,-0.03151967,0.5819244,0.46075845,-0.066532545,0.53214127,0.43450442,-0.05676653,0.50367546,0.399691,-0.038981203,0.5760579,0.31345052,-0.052890513,0.5512898,0.42471856,-0.07481748,0.51507485,0.40160567,-0.06494939,0.5004184,0.36817008,-0.051330313,thal
0.28947076,0.4545751,3.0560003e-7,0.32148674,0.55872154,-0.029140513,0.38604546,0.610067,-0.03166693,0.43917495,0.5260993,-0.028565887,0.4407851,0.42448556,-0.027287131,0.49794596,0.5752798,-0.013283728,0.57830995,0.58851415,-0.016715633,0.62681836,0.5816286,-0.025075285,0.6736162,0.5813701,-0.034742452,0.50418913,0.5113591,-0.01763886,0.5944964,0.524919,-0.020903153,0.6514317,0.5215217,-0.03630173,0.70282406,0.5252331,-0.049029905,0.4924027,0.45261386,-0.025164174,0.57862085,0.46357015,-0.048519194,0.6287492,0.46519497,-0.07210896,0.68337965,0.4779468,-0.086560875,0.45839828,0.39087,-0.03416748,0.5286919,0.40743497,-0.054072514,0.492075,0.42088285,-0.05091014,0.44287008,0.4282902,-0.047543902,tha
